"date","maxTa"
2015-01-01,-0.8
2015-01-02,-0.1
2015-01-03,5.2
2015-01-04,10.7
2015-01-05,13.2
2015-01-06,9.3
2015-01-07,2.7
2015-01-08,3
2015-01-09,4.7
2015-01-10,7.2
2015-01-11,5.7
2015-01-12,3.7
2015-01-13,9.4
2015-01-14,7.2
2015-01-15,8.8
2015-01-16,3.7
2015-01-17,3.5
2015-01-18,5.6
2015-01-19,7.3
2015-01-20,8.2
2015-01-21,7
2015-01-22,6.1
2015-01-23,7.5
2015-01-24,8.8
2015-01-25,10.8
2015-01-26,9.6
2015-01-27,3.8
2015-01-28,2.1
2015-01-29,3.5
2015-01-30,3.3
2015-01-31,2.5
2015-02-01,4.8
2015-02-02,7.2
2015-02-03,6
2015-02-04,4.9
2015-02-05,5.2
2015-02-06,7
2015-02-07,6.7
2015-02-08,2.7
2015-02-09,1.4
2015-02-10,9.1
2015-02-11,10.7
2015-02-12,4.6
2015-02-13,5
2015-02-14,10.7
2015-02-15,12.8
2015-02-16,8.1
2015-02-17,5.8
2015-02-18,3.8
2015-02-19,9.3
2015-02-20,13.3
2015-02-21,12.6
2015-02-22,12.1
2015-02-23,8.6
2015-02-24,9.7
2015-02-25,11.7
2015-02-26,8.2
2015-02-27,3.9
2015-02-28,8.3
2015-03-01,6.5
2015-03-02,11.1
2015-03-03,9.6
2015-03-04,4.5
2015-03-05,7.5
2015-03-06,12.7
2015-03-07,12.4
2015-03-08,17.6
2015-03-09,11.8
2015-03-10,3
2015-03-11,8.7
2015-03-12,11.3
2015-03-13,8.2
2015-03-14,12.3
2015-03-15,15.7
2015-03-16,21.6
2015-03-17,22.4
2015-03-18,13.4
2015-03-19,20.9
2015-03-20,21.3
2015-03-21,19.7
2015-03-22,16.7
2015-03-23,11.2
2015-03-24,12.2
2015-03-25,15.1
2015-03-26,17.9
2015-03-27,18.1
2015-03-28,19.2
2015-03-29,19.7
2015-03-30,23.4
2015-03-31,16.7
2015-04-01,18.3
2015-04-02,21.6
2015-04-03,20.6
2015-04-04,19.9
2015-04-05,14.9
2015-04-06,13.8
2015-04-07,14.6
2015-04-08,15.3
2015-04-09,16.4
2015-04-10,19.8
2015-04-11,22.4
2015-04-12,20.9
2015-04-13,15.4
2015-04-14,15
2015-04-15,20.3
2015-04-16,21.2
2015-04-17,20.1
2015-04-18,25.5
2015-04-19,20.6
2015-04-20,17.2
2015-04-21,21.5
2015-04-22,20.2
2015-04-23,22.6
2015-04-24,23.1
2015-04-25,25.1
2015-04-26,27.2
2015-04-27,27.2
2015-04-28,26.6
2015-04-29,22.4
2015-04-30,26.2
2015-05-01,26.4
2015-05-02,28.5
2015-05-03,22.1
2015-05-04,22.1
2015-05-05,21.6
2015-05-06,23
2015-05-07,25.6
2015-05-08,23.3
2015-05-09,25.3
2015-05-10,27.6
2015-05-11,24.1
2015-05-12,21.4
2015-05-13,27.2
2015-05-14,30.6
2015-05-15,23.7
2015-05-16,26.9
2015-05-17,27.5
2015-05-18,23.3
2015-05-19,27
2015-05-20,23.4
2015-05-21,27.4
2015-05-22,28.9
2015-05-23,26.9
2015-05-24,29.4
2015-05-25,27.7
2015-05-26,32.4
2015-05-27,33
2015-05-28,33.2
2015-05-29,31.4
2015-05-30,24.4
2015-05-31,30.1
2015-06-01,31.1
2015-06-02,26.2
2015-06-03,28.3
2015-06-04,30.6
2015-06-05,23.8
2015-06-06,30.2
2015-06-07,31.6
2015-06-08,25.3
2015-06-09,29.4
2015-06-10,33.6
2015-06-11,27.8
2015-06-12,32.8
2015-06-13,32.5
2015-06-14,23.9
2015-06-15,29.1
2015-06-16,28.3
2015-06-17,27.9
2015-06-18,31.1
2015-06-19,30.6
2015-06-20,23.8
2015-06-21,28.3
2015-06-22,29.4
2015-06-23,30.4
2015-06-24,27.6
2015-06-25,25.3
2015-06-26,21.7
2015-06-27,27.9
2015-06-28,28.1
2015-06-29,29.5
2015-06-30,24.8
2015-07-01,25.8
2015-07-02,28.3
2015-07-03,26.8
2015-07-04,27.5
2015-07-05,27.7
2015-07-06,27.3
2015-07-07,23.9
2015-07-08,26.9
2015-07-09,27
2015-07-10,32
2015-07-11,32.2
2015-07-12,26.5
2015-07-13,26.6
2015-07-14,30.8
2015-07-15,31.4
2015-07-16,29.6
2015-07-17,28.5
2015-07-18,28.1
2015-07-19,30.8
2015-07-20,30.6
2015-07-21,29.5
2015-07-22,30.6
2015-07-23,27.8
2015-07-24,27.8
2015-07-25,30.5
2015-07-26,32.4
2015-07-27,28.3
2015-07-28,30.2
2015-07-29,32.4
2015-07-30,34.2
2015-07-31,33
2015-08-01,33.2
2015-08-02,33
2015-08-03,34
2015-08-04,34.4
2015-08-05,33.8
2015-08-06,34.3
2015-08-07,35.3
2015-08-08,34.1
2015-08-09,32.5
2015-08-10,30
2015-08-11,29.2
2015-08-12,28.4
2015-08-13,30.4
2015-08-14,31.2
2015-08-15,32.6
2015-08-16,29.5
2015-08-17,32
2015-08-18,29
2015-08-19,30.2
2015-08-20,26.3
2015-08-21,28.9
2015-08-22,27.7
2015-08-23,30
2015-08-24,28.2
2015-08-25,24.7
2015-08-26,27.9
2015-08-27,28.1
2015-08-28,28.8
2015-08-29,28.9
2015-08-30,30.2
2015-08-31,30.2
2015-09-01,29.4
2015-09-02,28
2015-09-03,27.6
2015-09-04,29.1
2015-09-05,26.5
2015-09-06,25.8
2015-09-07,27.8
2015-09-08,27.2
2015-09-09,27.9
2015-09-10,27.5
2015-09-11,27.4
2015-09-12,21.8
2015-09-13,24.6
2015-09-14,26.8
2015-09-15,26.7
2015-09-16,24.2
2015-09-17,27.7
2015-09-18,27.7
2015-09-19,27.1
2015-09-20,25.6
2015-09-21,28.8
2015-09-22,30.3
2015-09-23,23
2015-09-24,28.3
2015-09-25,26.9
2015-09-26,24.7
2015-09-27,28.9
2015-09-28,31.7
2015-09-29,29.8
2015-09-30,24.3
2015-10-01,23.5
2015-10-02,21.3
2015-10-03,24.3
2015-10-04,25.6
2015-10-05,25.7
2015-10-06,26
2015-10-07,26.1
2015-10-08,24
2015-10-09,20.7
2015-10-10,22.1
2015-10-11,17.5
2015-10-12,18.6
2015-10-13,20.8
2015-10-14,23.3
2015-10-15,23.4
2015-10-16,22.3
2015-10-17,24.7
2015-10-18,25.2
2015-10-19,24.9
2015-10-20,24.2
2015-10-21,24.6
2015-10-22,24.5
2015-10-23,22.1
2015-10-24,19.3
2015-10-25,22.3
2015-10-26,22
2015-10-27,17
2015-10-28,16.9
2015-10-29,16.1
2015-10-30,12.7
2015-10-31,13
2015-11-01,10.3
2015-11-02,15.6
2015-11-03,18.6
2015-11-04,20
2015-11-05,19.5
2015-11-06,21.4
2015-11-07,17.1
2015-11-08,17.8
2015-11-09,16
2015-11-10,14.2
2015-11-11,17.1
2015-11-12,20.2
2015-11-13,15.6
2015-11-14,14.6
2015-11-15,18.4
2015-11-16,16.6
2015-11-17,17.2
2015-11-18,15.5
2015-11-19,14.3
2015-11-20,16
2015-11-21,13.6
2015-11-22,17.3
2015-11-23,13.6
2015-11-24,10.7
2015-11-25,7.5
2015-11-26,4.1
2015-11-27,2.4
2015-11-28,8.3
2015-11-29,12.2
2015-11-30,12.2
2015-12-01,12.4
2015-12-02,13.1
2015-12-03,6.9
2015-12-04,5.6
2015-12-05,8.8
2015-12-06,6.9
2015-12-07,7.9
2015-12-08,9.7
2015-12-09,13.9
2015-12-10,11.6
2015-12-11,9.3
2015-12-12,11.2
2015-12-13,14.1
2015-12-14,9.5
2015-12-15,9.3
2015-12-16,5.5
2015-12-17,2.2
2015-12-18,4.5
2015-12-19,9
2015-12-20,5.4
2015-12-21,11
2015-12-22,10.2
2015-12-23,7.3
2015-12-24,7.5
2015-12-25,5.1
2015-12-26,11.5
2015-12-27,3
2015-12-28,2.5
2015-12-29,4.9
2015-12-30,8
2015-12-31,5.7
2016-01-01,7.7
2016-01-02,12.9
2016-01-03,14
2016-01-04,9.6
2016-01-05,4.1
2016-01-06,5.4
2016-01-07,4.5
2016-01-08,4.1
2016-01-09,6
2016-01-10,7.3
2016-01-11,3.6
2016-01-12,2.5
2016-01-13,1.1
2016-01-14,4
2016-01-15,6.4
2016-01-16,8.9
2016-01-17,5.8
2016-01-18,2.5
2016-01-19,-4.7
2016-01-20,-4
2016-01-21,-2
2016-01-22,-1
2016-01-23,-4.4
2016-01-24,-8.5
2016-01-25,-2.1
2016-01-26,3.2
2016-01-27,4.9
2016-01-28,2.6
2016-01-29,4.5
2016-01-30,5.3
2016-01-31,1.1
2016-02-01,0.6
2016-02-02,1.5
2016-02-03,4.6
2016-02-04,4.8
2016-02-05,4.4
2016-02-06,3.1
2016-02-07,3.2
2016-02-08,8.3
2016-02-09,7.4
2016-02-10,12.5
2016-02-11,17.4
2016-02-12,14.5
2016-02-13,21.9
2016-02-14,5.5
2016-02-15,0.7
2016-02-16,4.8
2016-02-17,6.3
2016-02-18,10.9
2016-02-19,8.4
2016-02-20,9.2
2016-02-21,5.7
2016-02-22,5.5
2016-02-23,8.8
2016-02-24,2.5
2016-02-25,6.3
2016-02-26,5.5
2016-02-27,11.4
2016-02-28,13.4
2016-02-29,0.8
2016-03-01,3.8
2016-03-02,11.4
2016-03-03,17.1
2016-03-04,14
2016-03-05,19.4
2016-03-06,14.5
2016-03-07,17.3
2016-03-08,9
2016-03-09,7.9
2016-03-10,6.1
2016-03-11,5.4
2016-03-12,9.6
2016-03-13,9.4
2016-03-14,9.6
2016-03-15,13.1
2016-03-16,15.5
2016-03-17,18.9
2016-03-18,16.2
2016-03-19,16.3
2016-03-20,15.8
2016-03-21,16.2
2016-03-22,15.7
2016-03-23,14.2
2016-03-24,13.8
2016-03-25,12.7
2016-03-26,11.8
2016-03-27,14
2016-03-28,18
2016-03-29,18.8
2016-03-30,21.6
2016-03-31,22.9
2016-04-01,23.8
2016-04-02,24
2016-04-03,16.7
2016-04-04,17.9
2016-04-05,19.4
2016-04-06,22.9
2016-04-07,16.5
2016-04-08,21.3
2016-04-09,24
2016-04-10,23.8
2016-04-11,20.4
2016-04-12,23.9
2016-04-13,19.5
2016-04-14,17.3
2016-04-15,25.3
2016-04-16,20.1
2016-04-17,18
2016-04-18,17.7
2016-04-19,19.9
2016-04-20,22
2016-04-21,16.5
2016-04-22,25.8
2016-04-23,23.7
2016-04-24,24.3
2016-04-25,26.4
2016-04-26,25.8
2016-04-27,16
2016-04-28,19.1
2016-04-29,21.5
2016-04-30,25.2
2016-05-01,27.7
2016-05-02,26.2
2016-05-03,20.2
2016-05-04,21.4
2016-05-05,28
2016-05-06,26.5
2016-05-07,22.5
2016-05-08,26.5
2016-05-09,23.8
2016-05-10,16.1
2016-05-11,22.1
2016-05-12,25.5
2016-05-13,22.3
2016-05-14,26.3
2016-05-15,25.1
2016-05-16,21.7
2016-05-17,26.1
2016-05-18,30.1
2016-05-19,29.1
2016-05-20,29.5
2016-05-21,29.7
2016-05-22,30
2016-05-23,29.6
2016-05-24,21.9
2016-05-25,25.6
2016-05-26,26.4
2016-05-27,29.4
2016-05-28,26.3
2016-05-29,25.4
2016-05-30,27.5
2016-05-31,26.9
2016-06-01,27.8
2016-06-02,27.9
2016-06-03,29.1
2016-06-04,22.4
2016-06-05,30.2
2016-06-06,24.9
