date,close
2020.1.2,55200
2020.1.3,55500
2020.1.6,55500
2020.1.7,55800
2020.1.8,56800
2020.1.9,58600
2020.1.10,59500
2020.1.13,60000
2020.1.14,60000
2020.1.15,59000
2020.1.16,60700
2020.1.17,61300
2020.1.20,62400
2020.1.21,61400
2020.1.22,62300
2020.1.23,60800
2020.1.28,58800
2020.1.29,59100
2020.1.30,57200
2020.1.31,56400
2020.2.3,57200
2020.2.4,58900
2020.2.5,59500
2020.2.6,61100
2020.2.7,60400
2020.2.10,59700
2020.2.11,59900
2020.2.12,60500
2020.2.13,60700
2020.2.14,61800
2020.2.17,61500
2020.2.18,59800
2020.2.19,60200
2020.2.20,60000
2020.2.21,59200
2020.2.24,56800
2020.2.25,57900
2020.2.26,56500
2020.2.27,55900
2020.2.28,54200
2020.3.2,55000
2020.3.3,55400
2020.3.4,57400
2020.3.5,57800
2020.3.6,56500
2020.3.9,56500
2020.3.10,54600
2020.3.11,52100
2020.3.12,52100
2020.3.13,49950
2020.3.16,48900
2020.3.17,47300
2020.3.18,45600
2020.3.19,42950
2020.3.20,45400
2020.3.23,42500
2020.3.24,46950
2020.3.25,48650
2020.3.26,47800
2020.3.27,48300
2020.3.30,47850
2020.3.31,47750
2020.4.1,45800
2020.4.2,46800
2020.4.3,47000
2020.4.6,48700
2020.4.7,49600
2020.4.8,48600
2020.4.9,49100
2020.4.10,49250
2020.4.13,48300
2020.4.14,49000
2020.4.16,49000
2020.4.17,51400
2020.4.20,50100
2020.4.21,49250
2020.4.22,49850
2020.4.23,49850
2020.4.24,49350
2020.4.27,49850
2020.4.28,50100
2020.4.29,50000
2020.5.4,48500
2020.5.6,49200
2020.5.7,48800
2020.5.8,48800
2020.5.11,48400
2020.5.12,47900
2020.5.13,48550
2020.5.14,48000
2020.5.15,47850
2020.5.18,48800
2020.5.19,50300
2020.5.20,50000
2020.5.21,49950
2020.5.22,48750
2020.5.25,48850
2020.5.26,49250
2020.5.27,49900
2020.5.28,50400
2020.5.29,50700
2020.6.1,51200
2020.6.2,51400
2020.6.3,54500
2020.6.4,54600
2020.6.5,55500
2020.6.8,54900
2020.6.9,55500
2020.6.10,55400
2020.6.11,54300
2020.6.12,52300
2020.6.15,49900
2020.6.16,52100
2020.6.17,52200
2020.6.18,52300
2020.6.19,52900
2020.6.22,52000
2020.6.23,51400
2020.6.24,52900
2020.6.25,51900
2020.6.26,53300
2020.6.29,52400
2020.6.30,52800
2020.7.1,52600
2020.7.2,52900
2020.7.3,53600
2020.7.6,55000
2020.7.7,53400
2020.7.8,53000
2020.7.9,52800
2020.7.10,52700
2020.7.13,53400
2020.7.14,53800
2020.7.15,54700
2020.7.16,53800
2020.7.17,54400
2020.7.20,54200
2020.7.21,55300
2020.7.22,54700
2020.7.23,54100
2020.7.24,54200
2020.7.27,55600
2020.7.28,58600
2020.7.29,59000
2020.7.30,59000
2020.7.31,57900
2020.8.3,56800
2020.8.4,57300
2020.8.5,56900
2020.8.6,58000
2020.8.7,57500
2020.8.10,57800
2020.8.11,58200
2020.8.12,59000
2020.8.13,58700
2020.8.14,58000
2020.8.18,58400
2020.8.19,57800
2020.8.20,55400
2020.8.21,55900
2020.8.24,56100
2020.8.25,56400
2020.8.26,56400
2020.8.27,55600
2020.8.28,55400
2020.8.31,54000
2020.9.1,54200
2020.9.2,54400
2020.9.3,56400
2020.9.4,55600
2020.9.7,56500
2020.9.8,58700
2020.9.9,58400
2020.9.10,59200
2020.9.11,59000
2020.9.14,60400
2020.9.15,61000
2020.9.16,61000
2020.9.17,59500
2020.9.18,59300
2020.9.21,59200
2020.9.22,58200
2020.9.23,58600
2020.9.24,57800
2020.9.25,57900
2020.9.28,58200
2020.9.29,58200
2020.10.5,58700
2020.10.6,59000
2020.10.7,59900
2020.10.8,59700
2020.10.12,60400
2020.10.13,60900
2020.10.14,60900
2020.10.15,60000
2020.10.16,59500
2020.10.19,60000
2020.10.20,60900
2020.10.21,60900
2020.10.22,60100
2020.10.23,60200
2020.10.26,60400
2020.10.27,59800
2020.10.28,59000
2020.10.29,58100
2020.10.30,56600
2020.11.2,57400
2020.11.3,58800
2020.11.4,58500
2020.11.5,60300
2020.11.6,60100
2020.11.9,60200
2020.11.10,60200
2020.11.11,61300
2020.11.12,61000
2020.11.13,63200
2020.11.16,66300
2020.11.17,65700
2020.11.18,64800
2020.11.19,64600
2020.11.20,64700
2020.11.23,67500
2020.11.24,67700
2020.11.25,66600
2020.11.26,68000
2020.11.27,68200
2020.11.30,66700
2020.12.1,67800
2020.12.2,69500
2020.12.3,69700
2020.12.4,71500
2020.12.7,72900
2020.12.8,71700
2020.12.9,73900
2020.12.10,72900
2020.12.11,73400
2020.12.14,73800
2020.12.15,73800
2020.12.16,73800
2020.12.17,73300
2020.12.18,73000
2020.12.21,73000
2020.12.22,72300
2020.12.23,73900
2020.12.24,77800
2020.12.28,78700
2020.12.29,78300
2020.12.30,81000
2021.1.4,83000
2021.1.5,83900
2021.1.6,82200
2021.1.7,82900
2021.1.8,88800
2021.1.11,91000
2021.1.12,90600
2021.1.13,89700
2021.1.14,89700
2021.1.15,88000
2021.1.18,85000
2021.1.19,87000
2021.1.20,87200
2021.1.21,88100
2021.1.22,86800
2021.1.25,89400
2021.1.26,86700
2021.1.27,85600
2021.1.28,83700
2021.1.29,82000
2021.2.1,83000
2021.2.2,84400
2021.2.3,84600
2021.2.4,82500
2021.2.5,83500
2021.2.8,83000
2021.2.9,82700
2021.2.10,81600
2021.2.15,84200
2021.2.16,84900
2021.2.17,83200
2021.2.18,82100
2021.2.19,82600
2021.2.22,82200
2021.2.23,82000
2021.2.24,82000
2021.2.25,85300
2021.2.26,82500
2021.3.2,83600
2021.3.3,84000
2021.3.4,82400
2021.3.5,82100
2021.3.8,82000
2021.3.9,81400
2021.3.10,80900
2021.3.11,82000
2021.3.12,82800
2021.3.15,81800
2021.3.16,82800
2021.3.17,82300
2021.3.18,82900
2021.3.19,81900
2021.3.22,82000
2021.3.23,81800
2021.3.24,81000
2021.3.25,81200
2021.3.26,81500
2021.3.29,81600
2021.3.30,82200
2021.3.31,81400
2021.4.1,82900
2021.4.2,84800
2021.4.5,85400
2021.4.6,86000
2021.4.7,85600
2021.4.8,84700
2021.4.9,83600
2021.4.12,83200
2021.4.13,84000
2021.4.14,84000
2021.4.15,84100
2021.4.16,83900
2021.4.19,83300
2021.4.20,83900
2021.4.21,82600
2021.4.22,82400
2021.4.23,82800
2021.4.26,83500
2021.4.27,82900
2021.4.28,82100
2021.4.29,81700
2021.4.30,81500
2021.5.3,81700
2021.5.4,82600
2021.5.6,82300
2021.5.7,81900
2021.5.10,83200
2021.5.11,81200
2021.5.12,80000
2021.5.13,78500
2021.5.14,80100
2021.5.17,79600
2021.5.18,79600
2021.5.20,79500
2021.5.21,80100
2021.5.24,79700
2021.5.25,79900
2021.5.26,79800
2021.5.27,79600
2021.5.28,80100
2021.5.31,80500
2021.6.1,80600
2021.6.2,80800
2021.6.3,82800
2021.6.4,82200
2021.6.7,81900
2021.6.8,81900
2021.6.9,81100
2021.6.10,81000
2021.6.11,81000
2021.6.14,80500
2021.6.15,80900
2021.6.16,81800
2021.6.17,80900
2021.6.18,80500
2021.6.21,79900
2021.6.22,80000
