y,time,total_20,male_20,female_20
6.7,1999.06,10.3,12.1,8.2
6.7,1999.07,10.2,12.3,7.8
6.2,1999.08,9.9,12.2,7.4
5.2,1999.09,8.4,10.5,6.2
5,1999.1,8.2,9.6,6.6
4.8,1999.11,8.4,9.8,6.8
5.2,1999.12,9.4,11.2,7.3
5.7,2000.01,10.1,12.1,7.9
5.7,2000.02,9.6,11,8
5.1,2000.03,8.6,9.4,7.6
4.5,2000.04,7.7,9.1,6.3
4.1,2000.05,7,8,6
3.9,2000.06,6.6,8,5
4,2000.07,6.5,7.9,5
4.1,2000.08,6.8,8.1,5.3
4,2000.09,6.6,8,5.1
3.7,2000.1,6.4,7.7,4.9
3.9,2000.11,6.6,7.7,5.3
4.4,2000.12,7.4,8.8,5.9
5.1,2001.01,8.4,9.9,6.8
5.5,2001.02,9,10.5,7.4
5.1,2001.03,8.7,10.1,7.1
4.1,2001.04,7.2,7.9,6.5
3.7,2001.05,6.9,7.9,5.9
3.6,2001.06,6.7,7.6,5.7
3.6,2001.07,6.5,7.5,5.5
3.6,2001.08,6.7,8,5.3
3.3,2001.09,6.3,7.8,4.8
3.3,2001.1,6.5,7.8,5.1
3.4,2001.11,7.1,8.7,5.6
3.7,2001.12,7.7,9,6.4
4.1,2002.01,8.3,9.4,7.3
4.1,2002.02,7.9,9,6.8
3.8,2002.03,7.4,8.5,6.2
3.4,2002.04,6.6,7.9,5.3
3.1,2002.05,6.2,7.7,4.8
2.9,2002.06,6,7.4,4.5
3,2002.07,6.2,7.5,4.9
3.2,2002.08,6.2,7.7,4.6
2.7,2002.09,5.6,7.1,4.1
2.8,2002.1,6,7.6,4.4
2.9,2002.11,5.9,7.5,4.2
3.1,2002.12,6.6,8.6,4.5
3.7,2003.01,8.4,9.2,7.5
3.8,2003.02,8.8,10.1,7.5
3.7,2003.03,8.2,9.3,7.1
3.5,2003.04,7.5,8.7,6.2
3.4,2003.05,7.4,8.6,6.2
3.4,2003.06,7.2,8.5,5.9
3.6,2003.07,7.3,8.3,6.2
3.5,2003.08,7.2,8.4,6.1
3.3,2003.09,6.7,8.3,5.2
3.4,2003.1,7.1,8.7,5.5
3.5,2003.11,7.7,8.7,6.7
3.8,2003.12,8.3,9.6,7
4,2004.01,8.6,10.4,6.9
4.1,2004.02,9.1,10,8.2
4,2004.03,8.7,9.2,8.2
3.7,2004.04,7.8,8.5,7.1
3.5,2004.05,8,9.5,6.5
3.4,2004.06,7.4,9,5.8
3.6,2004.07,7.3,9,5.6
3.6,2004.08,7.5,8.7,6.2
3.3,2004.09,6.9,8.6,5.3
3.4,2004.1,7.4,9,5.8
3.5,2004.11,7.4,9.1,5.7
3.8,2004.12,8.1,10.3,6
4.3,2005.01,8.4,9.9,7
4.3,2005.02,8.8,9.8,7.7
4.1,2005.03,8.5,9.8,7.2
3.8,2005.04,8,8.8,7.3
3.6,2005.05,7.2,8.6,6
3.6,2005.06,7.4,8.5,6.3
3.7,2005.07,7.8,9.4,6.3
3.6,2005.08,7.4,9.3,5.6
3.6,2005.09,7.1,8.5,5.8
3.6,2005.1,7.2,8.5,6
3.3,2005.11,7.3,8.2,6.4
