"ym","sales"
1995-01-01,52.4
1995-02-01,26
1995-03-01,32.5
1995-04-01,49.9
1995-05-01,33.1
1995-06-01,30.9
1995-07-01,39.9
1995-08-01,26.5
1995-09-01,43.1
1995-10-01,55.2
1995-11-01,40.7
1995-12-01,59
1996-01-01,51.6
1996-02-01,40.8
1996-03-01,41.8
1996-04-01,57.5
1996-05-01,39.9
1996-06-01,36.2
1996-07-01,48.3
1996-08-01,30.7
1996-09-01,47.4
1996-10-01,63.9
1996-11-01,47.4
1996-12-01,60.8
1997-01-01,51.6
1997-02-01,40.4
1997-03-01,45.8
1997-04-01,54.5
1997-05-01,44.5
1997-06-01,36.7
1997-07-01,49.3
1997-08-01,33.8
1997-09-01,50.7
1997-10-01,61.7
1997-11-01,50.4
1997-12-01,48.7
1998-01-01,49.2
1998-02-01,37.6
1998-03-01,44.2
1998-04-01,46.2
1998-05-01,41.8
1998-06-01,33.7
1998-07-01,40.1
1998-08-01,32.6
1998-09-01,40.3
1998-10-01,52.6
1998-11-01,49.7
1998-12-01,49.4
1999-01-01,51.1
1999-02-01,42.2
1999-03-01,46.4
1999-04-01,52.8
1999-05-01,46.8
1999-06-01,40.7
1999-07-01,47.9
1999-08-01,37.7
1999-09-01,51.1
1999-10-01,64.7
1999-11-01,59.2
1999-12-01,65.4
2000-01-01,59.9
2000-02-01,46.6
2000-03-01,53.4
2000-04-01,65.1
2000-05-01,54.5
2000-06-01,48.3
2000-07-01,53.7
2000-08-01,43.8
2000-09-01,60
2000-10-01,65.4
2000-11-01,63.4
2000-12-01,67.8
2001-01-01,64.7
2001-02-01,49.3
2001-03-01,60.2
2001-04-01,63.4
2001-05-01,59.6
2001-06-01,50
2001-07-01,57
2001-08-01,44.5
2001-09-01,68.9
2001-10-01,70.5
2001-11-01,75.5
2001-12-01,80.4
2002-01-01,66.1
2002-02-01,59.8
2002-03-01,72.7
2002-04-01,72.8
2002-05-01,68.5
2002-06-01,55.9
2002-07-01,61.8
2002-08-01,49
2002-09-01,74.2
2002-10-01,80.4
2002-11-01,76.4
2002-12-01,71
2003-01-01,75.1
2003-02-01,53
2003-03-01,71.8
2003-04-01,68.5
2003-05-01,68.1
2003-06-01,55.9
2003-07-01,57
2003-08-01,50.3
2003-09-01,66
2003-10-01,72.7
2003-11-01,73.4
2003-12-01,72.6
2004-01-01,67.4
2004-02-01,57.7
2004-03-01,61.9
2004-04-01,65.3
2004-05-01,64.3
2004-06-01,55.5
2004-07-01,56.7
2004-08-01,46.9
2004-09-01,64.2
2004-10-01,72.9
2004-11-01,66.9
2004-12-01,70.4
2005-01-01,63.9
2005-02-01,57.9
2005-03-01,63.1
2005-04-01,67.2
2005-05-01,65.1
2005-06-01,55.4
